Arrecife,Sitio,Fecha,Transectos,RoverTime,Dive,Profundidad,LFCount,LFRover
Anegada de adentro,AnegadaAdentro,6-May-14,3,20,Dive 1,18,2,0
Anegada de adentro,AnegadaAdentro,6-May-14,3,20,Dive 2,7.4,0,2
Is. Verde,Verde,7-May-14,3,20,Dive 1,10.1,0,0
Is. Verde,Verde,7-May-14,3,20,Dive 2,6.8,0,0
Blanquilla,Blanquilla,8-May-14,4,20,Dive 1,11,2,0
Blanquilla,Blanquilla,8-May-14,3,20,Dive 2,6.6,1,1
Is. Enmedio,Enmedio,9-May-14,3,20,Dive 1,11.5,0,0
Is. Enmedio,Enmedio,9-May-14,4,20,Dive 2,5.5,0,0
Santiaguillo,Santiaguillo,12-May-14,2,20,Dive 1,16.1,1,0
Santiaguillo,Santiaguillo,12-May-14,2,20,Dive 2,10,1,1
Is. Sacrificios,Sacrificios,13-May-14,3,20,Dive 1,9.1,2,0
Blanca,Blanca,19-May-14,2,20,Dive 1,17.2,0,0
Blanca,Blanca,19-May-14,2,20,Dive 2,6.4,0,0
Ahogado 1,Ahogado1,20-May-14,2,20,Dive 1,10.4,0,0
Anegada de adentro,AnegadaAdentro,20-May-14,2,20,Dive 1,25.1,1,0
Anegada de adentro,Escuelita,13-Jun-14,0,50,Dive 1,13.3,0,0
Anegada de adentro,CaboMex,13-Jun-14,0,40,Dive 1,13.6,0,10
Anegada de adentro,CaboMex,14-Jun-14,0,48,Dive 1,15.8,0,1
Anegada de adentro,AnegadaAdentro,14-Jun-14,0,54,Dive 1,10.6,0,1
Anegada de adentro,CaboMex,21-Jun-14,0,41,Dive 1,15.6,0,0
Ahogado de Gilligan,AhogadoGilligan,21-Jun-14,0,41,Dive 1,15.9,0,0
Is. Verde,Catedrales,21-Jun-14,0,45,Dive 1,10,0,2
Is. Enmedio,EnmedioNW,26-Jun-14,0,45,Dive 1,16,0,0
Is. Verde,VerdeNW,26-Jun-14,0,46,Dive 1,14,0,1
Anegada de adentro,AnegadaAdentro,28-Jun-14,0,43,Dive 1,18,0,6
Anegada de adentro,CaboMex,28-Jun-14,0,45,Dive 1,15,0,1
Santiaguillo,Santiaguillo,27-May-15,2,,Dive 1,5,4,0
Santiaguillo,Santiaguillo,27-May-15,2,,Dive 2,15,1,0
Blanca,Blanca,28-May-15,2,,Dive 1,13,0,0
Blanca,Blanca,28-May-15,2,,Dive 2,6,0,0
Is. Enmedio,Enmedio,29-May-15,2,,Dive1,10,0,0
Is. Enmedio,Enmedio,29-May-15,2,,Dive 2,6,0,0
Blanquilla,Blanquilla,1-Jun-15,2,,Dive 1,10,0,2
Blanquilla,Blanquilla,1-Jun-15,2,,Dive 2,5,0,1
Is. Verde,Verde,2-Jun-15,2,,Dive 1,10,4,0
Is. Verde,Verde,2-Jun-15,2,,Dive 2,5,0,0
Anegada de adentro,AnegadaAdentro,3-Jun-15,2,,Dive 1,14,9,2
Anegada de adentro,AnegadaAdentro,3-Jun-15,2,,Dive 1,5,0,0
Ahogado Grande,AhogadoGrande,3-Jun-15,4,,Dive 2,10,2,0
Anegada de adentro,CaboMex,4-Jun-15,1,,Dive 1,10,0,0
Anegada de adentro,CaboMex,4-Jun-15,1,,Dive 1,5,0,0
Is. Verde,Catedrales,4-Jun-15,2,,Dive 2,10,0,0
Gallega,Gallega,25-May-16,2,55,Dive 1,10,1,0
Galleguilla,Galleguilla,25-May-16,3,60,Dive 2,12,0,0
Brava,Brava,26-May-16,2,,Dive 1,9,0,0
Anegada de adentro,CaboMex,26-May-16,2,,Dive 2,20,2,0
Anegadilla,Anegadilla,27-May-16,2,,Dive 1,18,2,0
Topetillo,Topetillo,27-May-16,2,,Dive 2,18,1,0
Blanca,Blanca,30-May-16,2,,Dive 1,15,0,0
Blanca,Blanca,30-May-16,2,,Dive 2,5,0,0
Santiaguillo,Santiaguillo,31-May-16,2,,Dive 1,6,0,0
Santiaguillo,Santiaguillo,31-May-16,2,,Dive 2,15,0,0
Blanquilla,Blanquilla,1-Jun-16,2,,Dive 1,15,2,0
Blanquilla,Blanquilla,1-Jun-16,2,,Dive 2,15,1,0
Anegada de adentro,AnegadaAdentro,2-Jun-16,2,,Dive 1,15,4,0
Anegada de adentro,AnegadaAdentro,2-Jun-16,2,,Dive 2,15,3,0
Verde,Verde,3-Jun-16,2,,Dive 1,10,1,0
Verde,Verde,3-Jun-16,0,47,Dive 2,15,0,10
Sacrificios,Sacrificios,6-Jun-16,2,,Dive 1,5,2,0
Ingenieros,Ingenieros,6-Jun-16,1,,Dive 2,3,0,0
