Sitio,Fecha,Profundidad,Transecto,Abudefduf saxatilis,Abudefduf taurus,Acanthostracion quadricornis,Acanthurus tractus,Acanthurus chirurgus,Acanthurus coeruleus,Aluterus scriptus,Anisotremus surinamensis,Anisotremus virginicus,Apogon binotatus,Apogon maculatus,Archosargos probatocephalus,Aulostomus maculatus,Balistes capriscus,Bodianus pulchellus,Bodianus rufus,Calamus calamus,Calamus penna,Calamus pennatula,Cantherines pullus,Canthidermis sufflamen,Canthigaster rostrata,Caranx bartholomei,Caranx crysos,Caranx latus,Caranx lugubris,Caranx ruber,Centropyge argi,Cephalopholis cruentata,Chaetodipterus faber,Chaetodon capistratus,Chaetodon ocellatus,Chaetodon sedentarius,Chaetodon striatus,Chromis cyanea,Chromis insolata,Chromis multilineata,Chromis scotti,Clepticus parrae,"CLUPEIDAE, ENGRAULIDAE",Coryphopterus glaucofraenum,Coryphopterus personatus/hyalinus,Diodon hystrix,Elacatinus jarocho,Elacatinus oceanops,Elacatinus redimiculus,Elagatis bipinnulata,Emblemariopsis sp.,Epinephelus adscensionis,Epinephelus guttatus,Equetus lanceolatus,Equetus punctatus,Gerres cinereus,Gymnothorax funebris,Gymnothorax miliaris,Gymnothorax moringa,Haemulon aurolineatum,Haemulon carbonarium,Haemulon chrysargyreum,Haemulon flavolineatum,Haemulon macrostomum,Haemulon plumieri,Halichoeres bivitattus,Halichoeres burekae,Halichoeres garnoti,Halichoeres radiatus,Hippocampus erectus,Holacanthus bermudensis,Holacanthus ciliaris,Holacanthus hibrido,Holacanthus tricolor,Holocentrus adscencionis,Holocentrus rufus,Hypleurochilus bermudensis,Hypoplectrus nigricans,Hypoplectrus puella,Hypoplectrus castroaguirrei,Haemulon vittata,Kyphosus sectatrix/incisor,Labrisomus nuchipinnis,Lactophrys bicaudalis,Lactophrys triqueter,Lutjanus analis,Lutjanus apodus,Lutjanus buccanella,Lutjanus griseus,Lutjanus jocu,Lutjanus mahogoni,Lutjanus synagris,Malacacotenus triangulatus,Microspathodon chrysurus,Mulloidichtys martinicus,Mycteroperca bonaci,Mycteroperca interstitialis,Mycteroperca microlepis,Mycteroperca phenax,Mycteroperca tigris,Mycteroperca venenosa,Myrichthys breviceps,Myripristis jacobus,Neopomasentrus cyanomus,Nicholsina usta,Ocyurus chrysurus,Odontoscion dentex,Ogcocephalus radiatus,Ophichthus ophis,Ophioblennius macclurei,Parablenius marmoreus,Paranthias furcifer,Pareques acuminatus,Pareques umbrosus,Pempheris schomburgki,Platybelone argalus,Pterois volitans,Pomacanthus arcuatus,Pomacanthus paru,Pseudopeneus maculatus,Scarus guacamaia,Scarus iseri,Scarus taeniopterus,Scomberomorus cavalla,Scorpaenodes caribbaeus,Scarus vetula,Scorpaena plumieri,Selene vomer,Seriola rivoliana,Serranus subligarius,Serranus tigrinus,Sparisoma atomarium,Sparisoma aurofrenatum,Sparisoma chrysopterum,Sparisoma rubripinae,Sparisoma viridae,Sphoeroides spengleri,Sphyraena borealis/picudilla,Sphyraena guachancho,Sphyrna barracuda,Stegastes adustus,Stegastes partitus ,Stegastes planifrons,Stegastes variabilis,Synodus intermedius,Synodus saurus,Thalassoma bifasciatum
AnegadaAdentro,18-Jan-10,16,1,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,1,,1,,,,,,,,,20,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnegadaAdentro,18-Jan-10,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,40,,8,,,,,,,,,,,,,3,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
AnegadaAdentro,18-Jan-10,16,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,4,3,,,,30,,,,,,,1,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,
AnegadaAdentro,18-Jan-10,16,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,4,,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,1,,,
AnegadaAdentro,18-Jan-10,16,5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
AnegadaAdentro,18-Jan-10,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,11
AnegadaAdentro,18-Jan-10,4,2,5,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,5,,,,,7
AnegadaAdentro,18-Jan-10,4,3,,,,,,,,,1,,,,,,,2,,,,1,,,,,,,,,,,,4,,,,,240,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,19,,,,,,8
AnegadaAdentro,18-Jan-10,4,4,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,9
AnegadaAdentro,18-Jan-10,4,5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,18,,,,,,13
Blanca,19-Jan-10,15,1,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,23,,,,220,,,,,,,,,,,,,,,8,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,
Blanca,19-Jan-10,15,2,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,40,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,
Blanca,19-Jan-10,15,3,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,150,,,,,,,,,,,,,,,20,,,1,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,4,,,,,
