Fecha,Sitio,Profundidad,TransCode,Transecto,Especie,Abundancia,Talla
30-May-16,Blanca,15,1 0-10,1,Haemulon plumierii,1,13
30-May-16,Blanca,15,1 0-10,1,Haemulon aurolineatum,13,13
30-May-16,Blanca,15,1 0-10,1,Chaetodon ocellatus,2,11
30-May-16,Blanca,15,1 0-10,1,Chaetodon sedentarius,1,5
30-May-16,Blanca,15,1 0-10,1,Stegastes partitus,1,2
30-May-16,Blanca,15,1 0-10,1,Stegastes variabilis,1,1
30-May-16,Blanca,15,1 0-10,1,Coryphopterus personatus,20,2
30-May-16,Blanca,15,1 0-10,1,Mycteroperca phenax,1,18
30-May-16,Blanca,15,1 0-10,1,Chromis scotti,4,5
30-May-16,Blanca,15,1 0-10,1,Bodianus rufus,2,10
30-May-16,Blanca,15,1 0-10,1,Holacanthus bermudensis,1,22
30-May-16,Blanca,15,1 0-10,1,Cantigaster rostrata,1,3
30-May-16,Blanca,15,1 0-10,1,Haemulon spp,80,3
30-May-16,Blanca,15,1 0-10,1,Haemulon flavolineatum,1,12
30-May-16,Blanca,15,1 0-10,1,Hypoplectrus nigricans,1,10
30-May-16,Blanca,5,1 0-10,1,Stegastes adustus,2,5
30-May-16,Blanca,5,1 0-10,1,Stegastes partitus,2,2
30-May-16,Blanca,5,1 0-10,1,Coryphopterus glaucofraenum,1,3
30-May-16,Blanca,5,1 0-10,1,Cantigaster rostrata,2,3
30-May-16,Blanca,5,1 0-10,1,Hypoplectrus nigricans,1,9
30-May-16,Blanca,5,1 0-10,1,Stegastes variabilis,1,2
30-May-16,Blanca,5,1 0-10,1,Elacatinus oceanops,1,2
30-May-16,Blanca,5,1 0-10,1,Chaetodon ocellatus,2,11
1-Jun-16,Blanquilla,9,1 0-10,1,Coryphopterus personatus,150,2
1-Jun-16,Blanquilla,9,1 0-10,1,Cantigaster rostrata,7,4
1-Jun-16,Blanquilla,9,1 0-10,1,Stegastes adustus,5,4
1-Jun-16,Blanquilla,9,1 0-10,1,Coryphopterus glaucofraenum,5,5
1-Jun-16,Blanquilla,9,1 0-10,1,Bodianus rufus,1,11
1-Jun-16,Blanquilla,9,1 0-10,1,Abudefduf saxatilis,1,9
1-Jun-16,Blanquilla,9,1 0-10,1,Elacatinus oceanops,2,4
1-Jun-16,Blanquilla,9,1 0-10,1,Cantigaster jamestyleri,1,4
1-Jun-16,Blanquilla,9,1 0-10,1,Chaetodon ocellatus,1,10
1-Jun-16,Blanquilla,9,1 0-10,1,Acanthurus chirurgus,2,18
1-Jun-16,Blanquilla,9,1 0-10,1,Halichoeres garnoti,1,6
1-Jun-16,Blanquilla,4,1 0-10,1,Stegastes adustus,14,5
1-Jun-16,Blanquilla,4,1 0-10,1,Thalassoma bifasciatum,1,7
1-Jun-16,Blanquilla,4,1 0-10,1,Halichoeres bivittatus,3,3
1-Jun-16,Blanquilla,4,1 0-10,1,Cantigaster rostrata,1,4
1-Jun-16,Blanquilla,4,1 0-10,1,Sparisoma rubripinne,1,8
1-Jun-16,Blanquilla,4,1 0-10,1,Abudefduf saxatilis,2,10
1-Jun-16,Blanquilla,4,1 0-10,1,Halichoeres burekae,30,3
1-Jun-16,Blanquilla,4,1 0-10,1,Chaetodon ocellatus,2,11
31-May-16,Santiaguillo,15,1 0-10,1,Coryphopterus personatus,150,2
31-May-16,Santiaguillo,15,1 0-10,1,Chromis scotti,5,4
31-May-16,Santiaguillo,15,1 0-10,1,Chromis cyanea,1,4
31-May-16,Santiaguillo,15,1 0-10,1,Chaetodon capistratus,2,4
31-May-16,Santiaguillo,15,1 0-10,1,Sparisoma viridae,1,8
31-May-16,Santiaguillo,15,1 0-10,1,Thalassoma bifasciatum,1,4
31-May-16,Santiaguillo,15,1 0-10,1,Stegastes partitus,2,3
31-May-16,Santiaguillo,15,1 0-10,1,Bodianus rufus,1,10
31-May-16,Santiaguillo,15,1 0-10,1,Cantigaster rostrata,5,4
31-May-16,Santiaguillo,15,1 0-10,1,Paranthias furcifer,1,8
31-May-16,Santiaguillo,15,1 0-10,1,Haemulon vittatum,1,10
31-May-16,Santiaguillo,15,1 0-10,1,Scarus iseri,1,5
